sweet:propTemperature/Temperature	temperature	odm:temperature	Temperature	temperatur		info(label-label,rdf(sweet:propTemperature/Temperature-temperature,rdfs:label,(temperature-temperature)@en)-rdf(odm:temperature-Temperature,skos:prefLabel,Temperature-Temperature^^xsd:string),stem)	
sweet:propTemperature/WindChill	wind chill	odm:windChill	Wind chill	wind chil		info(label-label,rdf(sweet:propTemperature/WindChill-wind chill,rdfs:label,(wind chill-wind chill)@en)-rdf(odm:windChill-Wind chill,skos:prefLabel,Wind chill-Wind chill^^xsd:string),stem)	
sweet:realmSoil/OrganicMatter	organic matter	odm:organicMatter	Organic matter	organic matt		info(label-label,rdf(sweet:realmSoil/OrganicMatter-organic matter,rdfs:label,(organic matter-organic matter)@en)-rdf(odm:organicMatter-Organic matter,skos:prefLabel,Organic matter-Organic matter^^xsd:string),stem)	
sweet:reprDataFormat/Format	format	odm:formate	Formate	format		info(label-label,rdf(sweet:reprDataFormat/Format-format,rdfs:label,(format-format)@en)-rdf(odm:formate-Formate,skos:prefLabel,Formate-Formate^^xsd:string),stem)	
sweet:reprDataModel/Parameter	parameter	odm:parameter	Parameter	paramet		info(label-label,rdf(sweet:reprDataModel/Parameter-parameter,rdfs:label,(parameter-parameter)@en)-rdf(odm:parameter-Parameter,skos:prefLabel,Parameter-Parameter^^xsd:string),stem)	
sweet:reprDataProduct/Offset	offset	odm:offset	Offset	offset		info(label-label,rdf(sweet:reprDataProduct/Offset-offset,rdfs:label,(offset-offset)@en)-rdf(odm:offset-Offset,skos:prefLabel,Offset-Offset^^xsd:string),downcase)	
sweet:reprMathOperation/Slope	slope	odm:slope	Slope	slope		info(label-label,rdf(sweet:reprMathOperation/Slope-slope,rdfs:label,(slope-slope)@en)-rdf(odm:slope-Slope,skos:prefLabel,Slope-Slope^^xsd:string),downcase)	
sweet:reprSpaceCoordinate/Latitude	latitude	odm:latitude	Latitude	latitud		info(label-label,rdf(sweet:reprSpaceCoordinate/Latitude-latitude,rdfs:label,(latitude-latitude)@en)-rdf(odm:latitude-Latitude,skos:prefLabel,Latitude-Latitude^^xsd:string),stem)	
sweet:reprSpaceCoordinate/Longitude	longitude	odm:longitude	Longitude	longitud		info(label-label,rdf(sweet:reprSpaceCoordinate/Longitude-longitude,rdfs:label,(longitude-longitude)@en)-rdf(odm:longitude-Longitude,skos:prefLabel,Longitude-Longitude^^xsd:string),stem)	
sweet:stateRoleRepresentative/Indicator	indicator	odm:indicator	Indicator	indic		info(label-label,rdf(sweet:stateRoleRepresentative/Indicator-indicator,rdfs:label,(indicator-indicator)@en)-rdf(odm:indicator-Indicator,skos:prefLabel,Indicator-Indicator^^xsd:string),stem)	
